name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
Castillo de Almansa Reserva,270363,Red Wine,Bodegas Piqueras,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Almansa, Spain",false,,http://lcbo.com/assets/products/234x234/0270363.jpg,http://lcbo.com/assets/products/720x720/0270363.jpg,Tempranillo,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Kittling Ridge Kingsgate Port,142513,Fortifieds,Magnotta Winery,750 mL bottle,8.94,9.94,1.0,2013-06-23,LCBO,,"Ontario, Canada",false,,,,Fortified Wine,Sweet
,,,,,,,,,,,,,,,,,
Cottage Block Merlot VQA,303149,Red Wine,Strewn Inc.,750 mL bottle,13.95,14.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0303149.jpg,http://lcbo.com/assets/products/720x720/0303149.jpg,Merlot,Medium-bodied & Fruity
Pelee Island Lighthouse Cabernet Franc VQA,145441,Red Wine,Pelee Island Vineyard Inc.,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0145441.jpg,http://lcbo.com/assets/products/720x720/0145441.jpg,Cabernet Franc,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Louis Bernard Cotes Du Rhone Red,581645,Red Wine,Les Domaines Bernard,750 mL bottle,12.0,13.0,1.0,2013-06-23,LCBO,XD - Extra Dry,France,false,,,,Rhône,Medium-bodied & Fruity
Pelee Island Gamay Noir Zweigelt VQA,216028,Red Wine,Pelee Island Vineyard Inc.,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,,,Blend,Light-bodied & Fruity
,,,,,,,,,,,,,,,,,
Beronia Tempranillo Rioja,243055,Red Wine,Bodegas Beronia S.A.,750 mL bottle,10.8,11.8,1.0,2013-06-23,LCBO,XD - Extra Dry,"Rioja, Spain",false,,http://lcbo.com/assets/products/234x234/0243055.jpg,http://lcbo.com/assets/products/720x720/0243055.jpg,Rioja,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
